Class|True Positive|False Positive|Accuracy
n02085620-Chihuahua|0|22|0.0
n02085782-Japanese_spaniel|0|27|0.0
n02085936-Maltese_dog|37|0|100.0
n02086079-Pekinese|0|22|0.0
n02086240-Shih-Tzu|0|32|0.0
n02086646-Blenheim_spaniel|0|28|0.0
n02086910-papillon|0|29|0.0
n02087046-toy_terrier|0|25|0.0
n02087394-Rhodesian_ridgeback|0|25|0.0
n02088094-Afghan_hound|0|35|0.0
n02088238-basset|0|26|0.0
n02088364-beagle|0|29|0.0
n02088466-bloodhound|0|28|0.0
n02088632-bluetick|0|25|0.0
n02089078-black-and-tan_coonhound|0|23|0.0
n02089867-Walker_hound|0|22|0.0
n02089973-English_foxhound|0|23|0.0
n02090379-redbone|0|22|0.0
n02090622-borzoi|0|22|0.0
n02090721-Irish_wolfhound|0|32|0.0
n02091032-Italian_greyhound|0|27|0.0
n02091134-whippet|0|28|0.0
n02091244-Ibizan_hound|0|28|0.0
n02091467-Norwegian_elkhound|0|29|0.0
n02091635-otterhound|0|22|0.0
n02091831-Saluki|0|30|0.0
n02092002-Scottish_deerhound|0|34|0.0
n02092339-Weimaraner|0|24|0.0
n02093256-Staffordshire_bullterrier|0|23|0.0
n02093428-American_Staffordshire_terrier|0|24|0.0
n02093647-Bedlington_terrier|0|27|0.0
n02093754-Border_terrier|0|25|0.0
n02093859-Kerry_blue_terrier|0|26|0.0
n02093991-Irish_terrier|0|25|0.0
n02094114-Norfolk_terrier|0|25|0.0
n02094258-Norwich_terrier|0|27|0.0
n02094433-Yorkshire_terrier|0|24|0.0
n02095314-wire-haired_fox_terrier|0|23|0.0
n02095570-Lakeland_terrier|0|29|0.0
n02095889-Sealyham_terrier|0|30|0.0
n02096051-Airedale|0|30|0.0
n02096177-cairn|0|29|0.0
n02096294-Australian_terrier|0|29|0.0
n02096437-Dandie_Dinmont|0|27|0.0
n02096585-Boston_bull|0|27|0.0
n02097047-miniature_schnauzer|0|23|0.0
n02097130-giant_schnauzer|0|23|0.0
n02097209-standard_schnauzer|0|23|0.0
n02097298-Scotch_terrier|0|23|0.0
n02097474-Tibetan_terrier|0|30|0.0
n02097658-silky_terrier|0|27|0.0
n02098105-soft-coated_wheaten_terrier|0|23|0.0
n02098286-West_Highland_white_terrier|0|25|0.0
n02098413-Lhasa|0|27|0.0
n02099267-flat-coated_retriever|0|22|0.0
n02099429-curly-coated_retriever|0|22|0.0
n02099601-golden_retriever|0|22|0.0
n02099712-Labrador_retriever|0|25|0.0
n02099849-Chesapeake_Bay_retriever|0|25|0.0
n02100236-German_short-haired_pointer|0|22|0.0
n02100583-vizsla|0|23|0.0
n02100735-English_setter|0|24|0.0
n02100877-Irish_setter|0|23|0.0
n02101006-Gordon_setter|0|22|0.0
n02101388-Brittany_spaniel|0|22|0.0
n02101556-clumber|0|22|0.0
n02102040-English_springer|0|23|0.0
n02102177-Welsh_springer_spaniel|0|22|0.0
n02102318-cocker_spaniel|0|23|0.0
n02102480-Sussex_spaniel|0|22|0.0
n02102973-Irish_water_spaniel|0|22|0.0
n02104029-kuvasz|0|22|0.0
n02104365-schipperke|0|23|0.0
n02105056-groenendael|0|22|0.0
n02105162-malinois|0|22|0.0
n02105251-briard|0|22|0.0
n02105412-kelpie|0|22|0.0
n02105505-komondor|0|23|0.0
n02105641-Old_English_sheepdog|0|25|0.0
n02105855-Shetland_sheepdog|0|23|0.0
n02106030-collie|0|22|0.0
n02106166-Border_collie|0|22|0.0
n02106382-Bouvier_des_Flandres|0|22|0.0
n02106550-Rottweiler|0|22|0.0
n02106662-German_shepherd|0|22|0.0
n02107142-Doberman|0|22|0.0
n02107312-miniature_pinscher|0|27|0.0
n02107574-Greater_Swiss_Mountain_dog|0|25|0.0
n02107683-Bernese_mountain_dog|0|32|0.0
n02107908-Appenzeller|0|22|0.0
n02108000-EntleBucher|0|30|0.0
n02108089-boxer|0|22|0.0
n02108422-bull_mastiff|0|23|0.0
n02108551-Tibetan_mastiff|0|22|0.0
n02108915-French_bulldog|0|23|0.0
n02109047-Great_Dane|0|23|0.0
n02109525-Saint_Bernard|0|25|0.0
n02109961-Eskimo_dog|0|22|0.0
n02110063-malamute|0|26|0.0
n02110185-Siberian_husky|0|28|0.0
n02110627-affenpinscher|0|22|0.0
n02110806-basenji|0|31|0.0
n02110958-pug|0|30|0.0
n02111129-Leonberg|0|31|0.0
n02111277-Newfoundland|0|29|0.0
n02111500-Great_Pyrenees|0|31|0.0
n02111889-Samoyed|0|32|0.0
n02112018-Pomeranian|0|32|0.0
n02112137-chow|0|29|0.0
n02112350-keeshond|0|23|0.0
n02112706-Brabancon_griffon|0|22|0.0
n02113023-Pembroke|0|27|0.0
n02113186-Cardigan|0|23|0.0
n02113624-toy_poodle|0|22|0.0
n02113712-miniature_poodle|0|23|0.0
n02113799-standard_poodle|0|23|0.0
n02113978-Mexican_hairless|0|23|0.0
n02115641-dingo|0|23|0.0
n02115913-dhole|0|22|0.0
n02116738-African_hunting_dog|0|25|0.0
