Class|True Positive|False Positive|Accuracy
n02085620-Chihuahua|0|22|0.0
n02085782-Japanese_spaniel|8|19|29.629629629629626
n02085936-Maltese_dog|11|26|29.72972972972973
n02086079-Pekinese|0|22|0.0
n02086240-Shih-Tzu|3|29|9.375
n02086646-Blenheim_spaniel|11|17|39.285714285714285
n02086910-papillon|6|23|20.689655172413794
n02087046-toy_terrier|5|20|20.0
n02087394-Rhodesian_ridgeback|6|19|24.0
n02088094-Afghan_hound|12|23|34.285714285714285
n02088238-basset|3|23|11.538461538461538
n02088364-beagle|1|28|3.4482758620689653
n02088466-bloodhound|5|23|17.857142857142858
n02088632-bluetick|2|23|8.0
n02089078-black-and-tan_coonhound|3|20|13.043478260869565
n02089867-Walker_hound|1|21|4.545454545454546
n02089973-English_foxhound|2|21|8.695652173913043
n02090379-redbone|4|18|18.181818181818183
n02090622-borzoi|0|22|0.0
n02090721-Irish_wolfhound|4|28|12.5
n02091032-Italian_greyhound|1|26|3.7037037037037033
n02091134-whippet|1|27|3.571428571428571
n02091244-Ibizan_hound|8|20|28.57142857142857
n02091467-Norwegian_elkhound|6|23|20.689655172413794
n02091635-otterhound|1|21|4.545454545454546
n02091831-Saluki|1|29|3.3333333333333335
n02092002-Scottish_deerhound|9|25|26.47058823529412
n02092339-Weimaraner|0|24|0.0
n02093256-Staffordshire_bullterrier|2|21|8.695652173913043
n02093428-American_Staffordshire_terrier|0|24|0.0
n02093647-Bedlington_terrier|2|25|7.4074074074074066
n02093754-Border_terrier|3|22|12.0
n02093859-Kerry_blue_terrier|3|23|11.538461538461538
n02093991-Irish_terrier|4|21|16.0
n02094114-Norfolk_terrier|3|22|12.0
n02094258-Norwich_terrier|5|22|18.51851851851852
n02094433-Yorkshire_terrier|0|24|0.0
n02095314-wire-haired_fox_terrier|2|21|8.695652173913043
n02095570-Lakeland_terrier|8|21|27.586206896551722
n02095889-Sealyham_terrier|14|16|46.666666666666664
n02096051-Airedale|4|26|13.333333333333334
n02096177-cairn|3|26|10.344827586206897
n02096294-Australian_terrier|4|25|13.793103448275861
n02096437-Dandie_Dinmont|2|25|7.4074074074074066
n02096585-Boston_bull|8|19|29.629629629629626
n02097047-miniature_schnauzer|1|22|4.3478260869565215
n02097130-giant_schnauzer|2|21|8.695652173913043
n02097209-standard_schnauzer|0|23|0.0
n02097298-Scotch_terrier|5|18|21.73913043478261
n02097474-Tibetan_terrier|0|30|0.0
n02097658-silky_terrier|5|22|18.51851851851852
