Class|True Positive|False Positive|Accuracy
n02085620-Chihuahua|3|19|13.636363636363635
n02085782-Japanese_spaniel|23|4|85.18518518518519
n02085936-Maltese_dog|27|10|72.97297297297297
n02086079-Pekinese|8|14|36.36363636363637
n02086240-Shih-Tzu|5|27|15.625
n02086646-Blenheim_spaniel|16|12|57.14285714285714
n02086910-papillon|17|12|58.620689655172406
n02087046-toy_terrier|15|10|60.0
n02087394-Rhodesian_ridgeback|6|19|24.0
n02088094-Afghan_hound|23|12|65.71428571428571
n02088238-basset|1|25|3.8461538461538463
n02088364-beagle|16|13|55.172413793103445
n02088466-bloodhound|13|15|46.42857142857143
n02088632-bluetick|7|18|28.000000000000004
n02089078-black-and-tan_coonhound|11|12|47.82608695652174
n02089867-Walker_hound|7|15|31.818181818181817
n02089973-English_foxhound|8|15|34.78260869565217
n02090379-redbone|2|20|9.090909090909092
n02090622-borzoi|4|18|18.181818181818183
n02090721-Irish_wolfhound|9|23|28.125
n02091032-Italian_greyhound|5|22|18.51851851851852
n02091134-whippet|6|22|21.428571428571427
n02091244-Ibizan_hound|14|14|50.0
n02091467-Norwegian_elkhound|17|12|58.620689655172406
n02091635-otterhound|11|11|50.0
n02091831-Saluki|2|28|6.666666666666667
n02092002-Scottish_deerhound|15|19|44.11764705882353
n02092339-Weimaraner|11|13|45.83333333333333
n02093256-Staffordshire_bullterrier|5|18|21.73913043478261
n02093428-American_Staffordshire_terrier|2|22|8.333333333333332
n02093647-Bedlington_terrier|18|9|66.66666666666666
n02093754-Border_terrier|11|14|44.0
n02093859-Kerry_blue_terrier|15|11|57.692307692307686
n02093991-Irish_terrier|5|20|20.0
n02094114-Norfolk_terrier|6|19|24.0
n02094258-Norwich_terrier|4|23|14.814814814814813
n02094433-Yorkshire_terrier|10|14|41.66666666666667
n02095314-wire-haired_fox_terrier|16|7|69.56521739130434
n02095570-Lakeland_terrier|6|23|20.689655172413794
n02095889-Sealyham_terrier|18|12|60.0
n02096051-Airedale|13|17|43.333333333333336
n02096177-cairn|12|17|41.37931034482759
n02096294-Australian_terrier|10|19|34.48275862068966
n02096437-Dandie_Dinmont|15|12|55.55555555555556
n02096585-Boston_bull|19|8|70.37037037037037
