Class|True Positive|False Positive|Accuracy
n02085620-Chihuahua|2|20|9.090909090909092
n02085782-Japanese_spaniel|14|13|51.85185185185185
n02085936-Maltese_dog|17|20|45.94594594594595
n02086079-Pekinese|2|20|9.090909090909092
n02086240-Shih-Tzu|4|28|12.5
n02086646-Blenheim_spaniel|9|19|32.142857142857146
n02086910-papillon|15|14|51.724137931034484
n02087046-toy_terrier|7|18|28.000000000000004
n02087394-Rhodesian_ridgeback|3|22|12.0
n02088094-Afghan_hound|18|17|51.42857142857142
n02088238-basset|2|24|7.6923076923076925
n02088364-beagle|4|25|13.793103448275861
n02088466-bloodhound|6|22|21.428571428571427
n02088632-bluetick|4|21|16.0
n02089078-black-and-tan_coonhound|5|18|21.73913043478261
n02089867-Walker_hound|2|20|9.090909090909092
n02089973-English_foxhound|11|12|47.82608695652174
n02090379-redbone|0|22|0.0
n02090622-borzoi|2|20|9.090909090909092
n02090721-Irish_wolfhound|4|28|12.5
n02091032-Italian_greyhound|1|26|3.7037037037037033
n02091134-whippet|1|27|3.571428571428571
n02091244-Ibizan_hound|8|20|28.57142857142857
n02091467-Norwegian_elkhound|9|20|31.03448275862069
n02091635-otterhound|7|15|31.818181818181817
n02091831-Saluki|6|24|20.0
n02092002-Scottish_deerhound|13|21|38.23529411764706
n02092339-Weimaraner|4|20|16.666666666666664
n02093256-Staffordshire_bullterrier|4|19|17.391304347826086
n02093428-American_Staffordshire_terrier|1|23|4.166666666666666
n02093647-Bedlington_terrier|12|15|44.44444444444444
n02093754-Border_terrier|3|22|12.0
n02093859-Kerry_blue_terrier|7|19|26.923076923076923
n02093991-Irish_terrier|0|25|0.0
n02094114-Norfolk_terrier|0|25|0.0
n02094258-Norwich_terrier|10|17|37.03703703703704
n02094433-Yorkshire_terrier|3|21|12.5
n02095314-wire-haired_fox_terrier|0|23|0.0
n02095570-Lakeland_terrier|1|28|3.4482758620689653
n02095889-Sealyham_terrier|9|21|30.0
n02096051-Airedale|6|24|20.0
n02096177-cairn|5|24|17.24137931034483
n02096294-Australian_terrier|7|22|24.137931034482758
n02096437-Dandie_Dinmont|5|22|18.51851851851852
n02096585-Boston_bull|8|19|29.629629629629626
n02097047-miniature_schnauzer|3|20|13.043478260869565
n02097130-giant_schnauzer|2|21|8.695652173913043
n02097209-standard_schnauzer|2|21|8.695652173913043
n02097298-Scotch_terrier|8|15|34.78260869565217
n02097474-Tibetan_terrier|5|25|16.666666666666664
n02097658-silky_terrier|13|14|48.148148148148145
n02098105-soft-coated_wheaten_terrier|0|23|0.0
n02098286-West_Highland_white_terrier|12|13|48.0
n02098413-Lhasa|3|24|11.11111111111111
n02099267-flat-coated_retriever|4|18|18.181818181818183
n02099429-curly-coated_retriever|10|12|45.45454545454545
n02099601-golden_retriever|6|16|27.27272727272727
n02099712-Labrador_retriever|2|23|8.0
n02099849-Chesapeake_Bay_retriever|0|25|0.0
n02100236-German_short-haired_pointer|1|21|4.545454545454546
n02100583-vizsla|4|19|17.391304347826086
n02100735-English_setter|3|21|12.5
n02100877-Irish_setter|0|23|0.0
n02101006-Gordon_setter|0|22|0.0
n02101388-Brittany_spaniel|1|21|4.545454545454546
n02101556-clumber|3|19|13.636363636363635
n02102040-English_springer|0|23|0.0
n02102177-Welsh_springer_spaniel|3|19|13.636363636363635
n02102318-cocker_spaniel|2|21|8.695652173913043
n02102480-Sussex_spaniel|3|19|13.636363636363635
n02102973-Irish_water_spaniel|6|16|27.27272727272727
n02104029-kuvasz|4|18|18.181818181818183
n02104365-schipperke|9|14|39.130434782608695
n02105056-groenendael|12|10|54.54545454545454
n02105162-malinois|2|20|9.090909090909092
n02105251-briard|2|20|9.090909090909092
n02105412-kelpie|5|17|22.727272727272727
n02105505-komondor|17|6|73.91304347826086
n02105641-Old_English_sheepdog|1|24|4.0
n02105855-Shetland_sheepdog|3|20|13.043478260869565
n02106030-collie|1|21|4.545454545454546
n02106166-Border_collie|3|19|13.636363636363635
n02106382-Bouvier_des_Flandres|7|15|31.818181818181817
n02106550-Rottweiler|9|13|40.909090909090914
n02106662-German_shepherd|4|18|18.181818181818183
n02107142-Doberman|1|21|4.545454545454546
n02107312-miniature_pinscher|7|20|25.925925925925924
n02107574-Greater_Swiss_Mountain_dog|3|22|12.0
n02107683-Bernese_mountain_dog|11|21|34.375
n02107908-Appenzeller|2|20|9.090909090909092
n02108000-EntleBucher|15|15|50.0
n02108089-boxer|1|21|4.545454545454546
n02108422-bull_mastiff|5|18|21.73913043478261
n02108551-Tibetan_mastiff|1|21|4.545454545454546
n02108915-French_bulldog|3|20|13.043478260869565
n02109047-Great_Dane|1|22|4.3478260869565215
n02109525-Saint_Bernard|10|15|40.0
n02109961-Eskimo_dog|1|21|4.545454545454546
n02110063-malamute|3|23|11.538461538461538
n02110185-Siberian_husky|4|24|14.285714285714285
n02110627-affenpinscher|3|19|13.636363636363635
n02110806-basenji|6|25|19.35483870967742
n02110958-pug|1|29|3.3333333333333335
n02111129-Leonberg|16|15|51.61290322580645
n02111277-Newfoundland|10|19|34.48275862068966
n02111500-Great_Pyrenees|8|23|25.806451612903224
n02111889-Samoyed|13|19|40.625
n02112018-Pomeranian|15|17|46.875
n02112137-chow|5|24|17.24137931034483
n02112350-keeshond|11|12|47.82608695652174
n02112706-Brabancon_griffon|3|19|13.636363636363635
n02113023-Pembroke|10|17|37.03703703703704
n02113186-Cardigan|0|23|0.0
n02113624-toy_poodle|4|18|18.181818181818183
n02113712-miniature_poodle|1|22|4.3478260869565215
n02113799-standard_poodle|0|23|0.0
n02113978-Mexican_hairless|10|13|43.47826086956522
n02115641-dingo|4|19|17.391304347826086
n02115913-dhole|1|21|4.545454545454546
n02116738-African_hunting_dog|16|9|64.0
