Filename|Predictions
n02085620-Chihuahua\n02085620_10074.jpg|n02098413-Lhasa
n02085620-Chihuahua\n02085620_10131.jpg|n02102480-Sussex_spaniel
n02085620-Chihuahua\n02085620_10621.jpg|n02092339-Weimaraner
n02085620-Chihuahua\n02085620_1073.jpg|n02105505-komondor
n02085620-Chihuahua\n02085620_10976.jpg|n02112137-chow
n02085620-Chihuahua\n02085620_11140.jpg|n02112137-chow
n02085620-Chihuahua\n02085620_11238.jpg|n02099267-flat-coated_retriever
n02085620-Chihuahua\n02085620_11258.jpg|n02110958-pug
n02085620-Chihuahua\n02085620_11337.jpg|n02112018-Pomeranian
n02085620-Chihuahua\n02085620_11477.jpg|n02093991-Irish_terrier
n02085620-Chihuahua\n02085620_1152.jpg|n02110806-basenji
n02085620-Chihuahua\n02085620_11696.jpg|n02098413-Lhasa
n02085620-Chihuahua\n02085620_11818.jpg|n02092339-Weimaraner
n02085620-Chihuahua\n02085620_11948.jpg|n02112018-Pomeranian
n02085620-Chihuahua\n02085620_1205.jpg|n02085936-Maltese_dog
n02085620-Chihuahua\n02085620_12101.jpg|n02098286-West_Highland_white_terrier
n02085620-Chihuahua\n02085620_12334.jpg|n02113978-Mexican_hairless
n02085620-Chihuahua\n02085620_1235.jpg|n02111500-Great_Pyrenees
n02085620-Chihuahua\n02085620_1271.jpg|n02086079-Pekinese
n02085620-Chihuahua\n02085620_12718.jpg|n02105412-kelpie
n02085620-Chihuahua\n02085620_1298.jpg|n02093991-Irish_terrier
n02085620-Chihuahua\n02085620_13151.jpg|n02100236-German_short-haired_pointer
n02085782-Japanese_spaniel\n02085782_1039.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1058.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1059.jpg|n02086646-Blenheim_spaniel
n02085782-Japanese_spaniel\n02085782_1077.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1085.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1143.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1156.jpg|n02086910-papillon
n02085782-Japanese_spaniel\n02085782_1191.jpg|n02107683-Bernese_mountain_dog
n02085782-Japanese_spaniel\n02085782_1224.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_126.jpg|n02086240-Shih-Tzu
n02085782-Japanese_spaniel\n02085782_1267.jpg|n02085782-Japanese_spaniel
n02085782-Japanese_spaniel\n02085782_1284.jpg|n02086910-papillon
n02085782-Japanese_spaniel\n02085782_1348.jpg|n02113023-Pembroke
